Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,References,,,
Paraguay,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,http://aidsinfo.unaids.org/,,,
Peru,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,http://aidsinfo.unaids.org/,,,
Philippines,,,,,,,,,,,,0.005998,0.007123,0.008455,0.010054,0.011953,0.014205,0.016909,0.020116,0.024001,0.029641,0.038988,0.047384,0.062835,0.070681,,http://www.unaids.org/sites/default/files/country/documents//PHL_narrative_report_2014.pdf,Projected PLHIV / Population (15-49),,
Republic of Moldova,,,,,,,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,http://aidsinfo.unaids.org/,,,
Russian Federation,,,,,,,,0.006938775510204,0.011632653061225,0.037551020408163,0.115510204081633,0.232857142857143,0.302448979591837,0.353877551020408,0.397265306122449,0.448367346938776,0.506122448979592,0.565714285714286,0.626734693877551,,,*1.385,,,,2.19282857142857,http://data.unaids.org/pub/Report/2008/russia_2008_country_progress_report_en.pdf,http://www.hivrussia.ru/skm/info_en.shtml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4247269/table/T1/,http://www.unaids.org/sites/default/files/country/documents/RUS_narrative_report_2015.pdf
Rwanda,5.2,5.7,6.1,6.3,6.3,6.3,6.1,5.9,5.6,5.3,4.9,4.6,4.2,3.9,3.6,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3,3,2.9,http://aidsinfo.unaids.org/,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,0.28,,,0.559613,0.464161,,0.685559,,"http://www.unaids.org/sites/default/files/country/documents/file,68394,es..pdf",http://www.unaids.org/sites/default/files/country/documents/LCA_narrative_report_2015.pdf,,
Senegal,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,http://aidsinfo.unaids.org/,,,
Sierra Leone,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.9,1.1,1.3,1.4,1.5,1.6,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.3,http://aidsinfo.unaids.org/,,,
Somalia,<0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,http://aidsinfo.unaids.org/,,,
South Africa,1,1.6,2.6,3.9,5.7,7.9,10.3,12.8,15.1,17.1,18.7,19.9,20.6,21,21,20.8,20.4,19.9,19.5,19.2,18.9,18.8,18.8,18.9,19,19.2,http://aidsinfo.unaids.org/,,,
South Sudan,0.1,0.3,0.4,0.6,0.9,1.1,1.4,1.6,1.9,2.2,2.4,2.6,2.8,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,http://aidsinfo.unaids.org/,,,
Spain,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,http://aidsinfo.unaids.org/,,,
Sri Lanka,,,,,,,,,,,,,,,,,,0.037588,,0.028064,,0.023477,0.026672,0.029288,0.032046,,http://www.unaids.org/sites/default/files/country/documents/LKA_narrative_report_2016.pdf,Estimated # PLHIV (total) / Population (15-49),,
Sudan,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,http://aidsinfo.unaids.org/,,,
Suriname,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.8,0.9,1,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,http://aidsinfo.unaids.org/,,,
Swaziland,2.2,4,6.5,9.4,12.6,15.7,18.5,20.9,22.7,24,24.8,25.4,25.6,25.7,25.7,25.7,25.8,26.1,26.4,26.7,27.2,27.6,28,28.4,28.7,28.8,http://aidsinfo.unaids.org/,,,
Sweden,0.089371148848244,0.111748420543069,0.129618429505055,0.141766139241034,0.152676126224987,0.159120258784575,0.16516642506556,0.171349531899814,0.177457598036756,0.182176222999453,0.18780549281644,0.189824799106196,0.191801565051591,0.205871504320238,0.20735090676991,0.207338371857854,0.219146307131864,0.219116118920034,0.218814313467739,0.230308613542146,0.229510057153771,0.230520448654724,0.230892238477391,,,,http://www.unaids.org/en/resources/campaigns/globalreport2013/globalreport,,,
Switzerland,0.263882577102923,0.287894461277489,0.312393709091133,0.334786959713132,0.340765830172325,0.344193661118579,0.331410410297228,0.353965561529288,0.360781556734514,0.365288694680188,0.379027482861641,0.391135309348916,0.402354634820159,0.427081014237503,0.437987414979115,0.46270048880224,0.459959696707987,0.483134317782134,0.491218082773168,0.513026397970625,0.523344569541241,0.532860880681272,0.556004381831742,,,,http://www.unaids.org/en/resources/campaigns/globalreport2013/globalreport,,,
Tajikistan,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,http://aidsinfo.unaids.org/,,,
Thailand,0.5,0.9,1.3,1.6,1.8,1.9,2,1.9,1.9,1.8,1.7,1.7,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.1,http://aidsinfo.unaids.org/,,,
Timor-Leste,,,,,,,,,,,,,,,0.01255,,,,,,,,,,0.08478,0.09695885509839,http://www.hivpolicy.org/Library/HPP000476.pdf,Estimated # PLHIV (total) / Population (15-49),,
Togo,1.2,1.5,1.9,2.3,2.8,3.2,3.6,4,4.4,4.6,4.8,4.9,4.9,4.8,4.6,4.4,4.1,3.9,3.6,3.3,3.1,2.9,2.8,2.6,2.5,2.4,http://aidsinfo.unaids.org/,,,
Trinidad and Tobago,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,http://aidsinfo.unaids.org/,,,
Tunisia,,,,,,,,,,,,,,,,,,0.018972,0.022204,0.023713,0.02694,0.030126,0.033409,0.036718,0.040055,0.043377,http://aidsinfo.unaids.org/,PLHIV 15+/ Population 15-49,,
Uganda,13.1,13.3,13.1,12.7,12.1,11.4,10.6,9.8,9,8.4,7.8,7.3,7,6.7,6.5,6.5,6.6,6.6,6.7,6.9,7,7.1,7.2,7.2,7.1,7.1,http://aidsinfo.unaids.org/,,,
Ukraine,,,,0.1,0.1,0.2,0.3,0.3,0.4,0.6,0.7,0.8,0.8,0.9,0.9,1,1,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.9,http://aidsinfo.unaids.org/,,,
United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,0.095619,0.107456,0.121004,0.134733,0.146982,0.156958,0.166673,0.173997,0.179412,0.186397,0.191276,0.19578,,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/335452/HIV_annual_report_2012.pdf,Estimated # PLHIV (15-49) / Population (15-49),,
United Republic of Tanzania,5.1,5.8,6.4,7,7.4,7.7,7.9,8,7.9,7.8,7.7,7.5,7.3,7.1,6.8,6.5,6.3,6.1,6,5.8,5.6,5.4,5.2,5.1,4.9,4.7,http://aidsinfo.unaids.org/,,,
United States of America,,,,,,,,,,,,0.209893,0.219976,0.22853,0.244522,0.25028,0.255917,0.263478,0.37013,0.372424,0.372397,0.370589,0.372369,,,,http://www.cdc.gov/hiv/library/reports/surveillance/pastissues.html,Estimated # PLHIV (15-49) / Population (15-49),,
Uruguay,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,http://aidsinfo.unaids.org/,,,
Uzbekistan,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,http://aidsinfo.unaids.org/,,,
Venezuela (Bolivarian Republic of),<0.1,<0.1,<0.1,<0.1,<0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,http://aidsinfo.unaids.org/,,,
Viet Nam,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,http://aidsinfo.unaids.org/,,,
Yemen,,0.021633,0.024191,0.026413,0.028403,0.031837,0.032142,0.033881,0.034048,0.035533,0.036853,0.039213,0.040171,0.042175,0.042785,0.04429,0.046669,0.047718,0.049537,0.052102,0.05361,0.05594,0.058106,0.060129,0.062781,0.065253,http://aidsinfo.unaids.org/,PLHIV 15+/ Population 15-49,,
Zambia,12.4,13.5,14.3,14.9,15.3,15.6,15.7,15.8,15.7,15.6,15.4,15.2,14.9,14.6,14.4,14.1,13.8,13.6,13.6,13.5,13.5,13.4,13.3,13.2,13.1,12.9,http://aidsinfo.unaids.org/,,,
Zimbabwe,15,17.7,20.3,22.5,24.2,25.3,26,26,25.7,24.9,24,22.8,21.6,20.4,19.2,18.1,17.2,16.5,16,15.7,15.5,15.3,15.2,15,14.9,14.7,http://aidsinfo.unaids.org/,,,
