Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,References,,,
Burundi,0.9,1.1,1.4,1.8,2.1,2.5,2.7,2.9,3.1,3.2,3.2,3.1,2.9,2.7,2.5,2.3,2.2,2,1.8,1.6,1.5,1.4,1.3,1.2,1.1,1,http://aidsinfo.unaids.org/,,,
Cambodia,,0.1,0.3,0.6,1,1.4,1.7,1.8,1.9,1.8,1.8,1.6,1.5,1.4,1.2,1.1,1.1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.6,http://aidsinfo.unaids.org/,,,
Cameroon,2,2.5,3,3.5,3.9,4.3,4.7,5,5.2,5.3,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5,4.9,4.9,4.8,4.8,4.7,4.6,4.6,4.5,http://aidsinfo.unaids.org/,,,
Canada,0.218492,0.22402,0.239125,0.243876,0.246308,0.25421,0.253888,0.258771,0.265377,0.269524,0.282478,0.287135,0.303574,0.315987,0.325884,0.33839,0.350081,0.360047,0.375932,0.385706,0.403321,0.426572,,,0.451526,,http://www.phac-aspc.gc.ca/aids-sida/publication/epi/2010/1-eng.php#a0502,Estimated # HIV infections (total) / Population (15-49),,
Cape Verde,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.6,1.5,1.5,1.4,1.3,1.3,1.2,1.2,1.1,1.1,1,1,1,1,1,http://aidsinfo.unaids.org/,,,
Central African Republic,4,4.8,5.6,6.4,7.2,7.8,8.3,8.7,8.8,8.8,8.7,8.4,8,7.5,7,6.5,6.1,5.7,5.3,5,4.8,4.5,4.3,4.1,3.9,3.7,http://aidsinfo.unaids.org/,,,
Chad,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.6,2.8,3,3.2,3.3,3.4,3.4,3.4,3.3,3.2,3.1,3,2.8,2.7,2.6,2.4,2.3,2.2,2,http://aidsinfo.unaids.org/,,,
Chile,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,http://aidsinfo.unaids.org/,,,
China,,,,,,,,,,,,,,,,0.085638999,,0.0909,,0.095238095,,0.100645161,,0.106020942,0.0657,,http://www.unaids.org/sites/default/files/country/documents/CHN_narrative_report_2015.pdf,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4730421/pdf/ijerph-13-00030.pdf,,
Colombia,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,http://aidsinfo.unaids.org/,,,
Congo,3.9,4.3,4.8,5.1,5.4,5.5,5.6,5.7,5.6,5.5,5.4,5.2,4.9,4.7,4.4,4.1,3.9,3.7,3.5,3.3,3.2,3.1,3,2.9,2.8,,http://www.who.int/gho/database/en/,,,
Costa Rica,<0.1,<0.1,<0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,http://aidsinfo.unaids.org/,,,
Côte d'Ivoire,3,3.5,3.9,4.3,4.7,5.1,5.4,5.6,5.7,5.7,5.6,5.5,5.3,5.1,4.9,4.6,4.4,4.2,4.1,3.9,3.8,3.7,3.6,3.4,3.3,3.2,http://aidsinfo.unaids.org/,,,
Cuba,,,,,0.016478,0.019762,0.022994,0.026264,0.029558,0.034486,0.039384,0.045898,0.053992,0.062035,0.073338,0.084689,0.097675,0.114005,0.132193,0.152489,0.181795,0.200185,0.236542,0.291674,0.331462,0.390417,http://aidsinfo.unaids.org/,PLHIV 15+/ Population 15-49,,
Democratic Republic of the Congo,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,1,0.9,0.8,http://aidsinfo.unaids.org/,,,
Denmark,0.048577265,0.05602538,0.059776012,0.065505632,0.071388127,0.077306127,0.085289204,0.089778747,0.104068781,0.114686523,0.125292627,0.137764089,0.150237058,0.16070319,0.17107932,0.183321417,0.193170987,0.202618788,0.211643477,0.222703893,0.232020113,0.24363896,0.255032377,,,,http://www.unaids.org/en/resources/campaigns/globalreport2013/globalreport,,,
